番号	枝番	分類	Title	URL	予測ポイント	やる/やらない	ポイント	予定時間	実績時間	イテレーション	Status	Assignees
		(FE)	FEバッファ（実装×10%）	https://github.com/ks-kentem/cloud-pm/issues/691			3.5	24.5			処理中	kentem-re-hiramatsu
		(BE)	BEバッファ（実装×10%）	https://github.com/ks-kentem/cloud-pm/issues/692			5	35			処理中	kentem-na-hasegawa
		(ﾃｽﾄ)	セキュリティテスト	https://github.com/ks-kentem/cloud-pm/issues/689			1	7			未対応	kentem-na-kawamura
		(FE)	安全工事日誌（点検項目あり）	https://github.com/ks-kentem/cloud-pm/issues/1634			0.5	3.5	0	5	プルリク中	kentem-ak-iwabuchi
		(FE)	安全工事日誌（点検項目なし）	https://github.com/ks-kentem/cloud-pm/issues/1635			0.5	3.5	0	5	プルリク中	kentem-ak-iwabuchi
		(FE)	点検記録表	https://github.com/ks-kentem/cloud-pm/issues/1636			0.5	3.5	0	5	プルリク中	kentem-ak-iwabuchi
		(FE)	日報詳細	https://github.com/ks-kentem/cloud-pm/issues/1637			0.5	3.5	0	5	プルリク中	kentem-ak-iwabuchi
		(BE)	スマホ対応 - 日報点検記録表 不具合対応	https://github.com/ks-kentem/cloud-pm/issues/1670		1	1	1	6	5	プルリク中	kentem-na-hasegawa
		(BE)	日報 - 無災害労働時間 不具合対応	https://github.com/ks-kentem/cloud-pm/issues/1689			0.5	3.5	2	5	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 - カレンダーアイコン表示対応	https://github.com/ks-kentem/cloud-pm/issues/1709			0.5	3.5	1	5	処理中	kentem-na-hasegawa
		(BE)	【安全日誌 / マスター】点検記録表のデータ保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/1725			0.5	3.5	1	4	処理済み・Close	kentem-na-hasegawa
		(BE)	3イテ 不具合 長谷川	https://github.com/ks-kentem/cloud-pm/issues/1728			2.5	17.5	0	3	処理済み・Close	kentem-na-hasegawa
		(BE)	3イテ バッファ 長谷川	https://github.com/ks-kentem/cloud-pm/issues/1729			1.5	10.5	0	3	処理済み・Close	kentem-na-hasegawa
		(BE)	【日報】取得時に指示日がデフォルト値になっている	https://github.com/ks-kentem/cloud-pm/issues/1737			0.5	3.5		5	プルリク中	kentem-na-hasegawa
		(BE)	【日報点検項目】AM/PM 未チェック時に備考が保存されない	https://github.com/ks-kentem/cloud-pm/issues/1741			0.5	3.5		5	プルリク中	kentem-na-hasegawa
		(FE)	モデルのプロパティ名変更	https://github.com/ks-kentem/cloud-pm/issues/1538			0.5	3.5	5	3	処理済み・Close	kentem-to-okemoto
		(FE)	表示設定に項目を追加	https://github.com/ks-kentem/cloud-pm/issues/1549			0.5	3.5	0.5	3	処理済み・Close	kentem-re-hiramatsu
		(FE)	表示設定の処理を修正	https://github.com/ks-kentem/cloud-pm/issues/1550			0.5	3.5			未対応	
		(FE)	【日報】打ち合わせ事項の表示(API接続)	https://github.com/ks-kentem/cloud-pm/issues/1556			0.5				未対応	
		(FE)	【日報】安全指示事項の追加ダイアログ作成	https://github.com/ks-kentem/cloud-pm/issues/1557			0.5				未対応	
		(FE)	日報詳細のリファクタリング	https://github.com/ks-kentem/cloud-pm/issues/1626				7	40	5	プルリク中	kentem-sh-kitazawa
